Name,Company,Built,Capacity,Crew,EnrouteDuration,OriginPort,OriginCountry,DestinationPort,DestinationCountry
Quis Neque,Maersk,1998,15800,Jamaica,112,Marsaxlokk,Malta,Singapore,Singapore
Omnis Quod,COSCO Shipping,1996,17100,Mali,89,Shanghai,China,Salalah,Oman
Magni Similique,Maersk,2014,15100,Saint Barthelemy,53,Rizhao,China,Rotterdam,The Netherlands
Tenetur Possimus,COSCO Shipping,1992,6100,Honduras,83,Shenzhen,China,Busan,South Korea
Pariatur Ratione,COSCO Shipping,1995,15200,New Zealand,44,Ningbo-Zhoushan,China,Barcelona,Spain
Dolorem Dolorem,Pacific International Lines,1982,17600,Mongolia,65,Shanghai,China,Felixstowe,U.K.
Reiciendis Explicabo,Maersk,1959,16700,Nepal,37,Ningbo-Zhoushan,China,Barcelona,Spain
Consequatur Et,Ocean Network Express,1951,14700,Eritrea,71,Tianjin,China,Barcelona,Spain
Voluptatem Ad,CMA CGM,1980,6200,Myanmar,38,Shenzhen,China,Busan,South Korea
Voluptatum Fugiat,Mediterranean Shipping Company,1952,9100,Finland,77,Ningbo-Zhoushan,China,Los Angeles,U.S.A.
Sunt Et,Mediterranean Shipping Company,2009,6400,Guinea,34,Xiamen,China,Felixstowe,U.K.
Sit Perspiciatis,Evergreen Marine,1972,1500,Ecuador,89,Singapore,Singapore,Hong Kong,China
Perspiciatis Nulla,Yang Ming Marine Transport Corporation,1982,17800,Slovakia (Slovak Republic),120,Shanghai,China,Ho Chi Minh City,Vietnam
Asperiores Fuga,CMA CGM,1987,17100,Tokelau,79,Hamburg,Germany,Busan,South Korea
Doloremque Ut,Maersk,2018,15200,Hong Kong,103,Singapore,Singapore,Kaohsiung,Taiwan
Quia Perferendis,Mediterranean Shipping Company,1968,14000,San Marino,96,Hong Kong,China,Mundra,India
Nulla Necessitatibus,SM Line,1997,13400,Malaysia,32,Jebel Ali,United Arab Emirates,Qingdao,China
Dolorem Minima,Mediterranean Shipping Company,1976,13100,Ecuador,84,Tianjin,China,Savannah,U.S.A.
Quo Qui,Mediterranean Shipping Company,2021,10500,United Arab Emirates,35,Busan,South Korea,Fuzhou,China
Veniam Vel,Hapag-Lloyd,2015,14900,Russian Federation,51,Guangzhou Harbor,China,Laem Chabang,Thailand
Aliquam Velit,Pacific International Lines,2021,7100,Malaysia,27,Dalian,China,Savannah,U.S.A.
Autem Dignissimos,COSCO Shipping,2007,9800,Niue,70,New York-New Jersey,U.S.A.,Santos,Brazil
